target,발음1,발음2,발음3,발음4,발음5,발음6,발음7,발음8,발음9,발음10,발음11,발음12,발음13,발음14,발음15,발음16,발음17,발음18,발음19,발음20,발음21,발음22,발음23,발음24,발음25,발음26,발음27,발음28,발음29,발음30,발음31,발음32,발음33,발음34,발음35,발음36,발음37,발음38,발음39,발음40,발음41,발음42,발음43,발음44,발음45,발음46,발음47,발음48,발음49,발음50,발음51,발음52,발음53,발음54,발음55,발음56,발음57,발음58,발음59,발음60,발음61,발음62,발음63,발음64,발음65,발음66,발음67,발음68,발음69,발음70,발음71,발음72,발음73,발음74,발음75,발음76,발음77,발음78,발음79,발음80,length,initial
abstraction,애브스트랙쎤,애브스프랙쎤,애브스트랙쪈,애드스트랙쎰,애브스트럭쎤,애므스트럭쎤,애브스트랚쎤,애브스츠랙쎤,애브서트랙쎤,애프스트랙쎤,애쁘스트릭쎤,개브스트랙쎤,어브스트랙쎤,애브드트랙쎤,애브쓰트랙쎤,에브스트랙쎤,애브스트랙션,애브스트랙쎰,애므스트랙쎤,애브스트랭쎤,애브스크랙쎤,애브스터랙쎤,애브서트랙쎨,애브스트랙쎤,애부스트랭쎤,애브서트랙쎨,애브스크랙쎤,애므스트럭쎤,애브스프랙쎤,애브스프랙쎤,애브드트랙쎤,애브서트랙쎨,애브스트랙쎰,개브스트랙쎤,애므스트럭쎤,애브스크랙쎤,애브스터랙쎤,애브쓰트랙쎤,애브서트랙쎨,애브드트랙쎤,어브스트랙쎤,애브스트럭쎤,애브스크랙쎤,애브스트랚쎤,애드스트랙쎰,애브스트랙쎤,애브스크랙쎤,애브스츠랙쎤,애브스터랙쎤,애브스터랙쎤,애브스트랭쎤,애브스트랭쎤,애브스트랙쎤,애브드트랙쎤,애쁘스트릭쎤,애브스터랙쎤,애드스트랙쎰,애브스크랙쎤,애브스트랙쪈,애브스츠랙쎤,에브스트랙쎤,애브스츠랙쎤,애브스트랙쪈,애브스츠랙쎤,애드스트랙쎰,애브쓰트랙쎤,애브스트랭쎤,애브쓰트랙쎤,애브스터랙쎤,애브서트랙쎨,애브스터랙쎤,애브스츠랙쎤,애브스터랙쎤,애브스프랙쎤,애브스크랙쎤,어브스트랙쎤,애브서트랙쎨,애브스크랙쎤,애브스트랙쪈,애브스터랙쎤,6,ㅇ
access,액쎄스,앵쎄뜨,액쎄수,억쎄스,액쎄스,억쩨스,액쏘서,객쎄스,액쎄트,액떼스,익쎄스,익쎄서,앢쐬스,깩쎄쉬,액쎄서,액쎄쉬,액세스,깩쎄서,앢쎄스,액쎄시,억쎄서,액쐬스,억쎄쯔,앢세스,액쎄쓰,액세스,액쎄쓰,억쎄스,액쎄쉬,앢쐬스,액쎄수,액쎄쉬,액쎄수,액쎄스,깩쎄서,액쎄쉬,익쎄서,액쎄쓰,앵쎄뜨,액떼스,앵쎄뜨,억쎄서,객쎄스,액쎄쉬,억쎄스,액쎄쉬,앵쎄뜨,깩쎄서,액쎄서,액쎄수,앢쐬스,깩쎄서,액쎄시,앢쎄스,액쐬스,액쐬스,객쎄스,억쎄서,깩쎄서,깩쎄서,액쎄수,액쐬스,액쎄서,액쎄쉬,억쎄스,액쐬스,억쎄스,액쎄쓰,억쎄서,억쎄스,억쎄서,억쎄스,액쎄쓰,액쎄시,액쎄수,깩쎄서,액쎄쉬,액쎄서,액쐬스,앢쐬스,3,ㅇ
address,애드레스,애드리스,이드레뜨,애드레시,애드메스,애드뢰스,애드레쓰,애드메뜨,애드래스,애드레수,개드레스,애드로스,애브래스,애브레서,애드레츠,애드레서,애드레스,애두레쉬,애드레즈,애드로스,애브래스,애드레시,애드래스,애드레츠,애드뢰스,애드레시,애드레츠,애브래스,애드레츠,애드메스,애브레서,애드레쓰,애브래스,애드뢰스,애드메스,애드레츠,이드레뜨,애드로스,애드레시,애드레시,애브래스,애드레시,애드레시,애드레수,애드레츠,애드레수,애드레시,애드뢰스,애드리스,개드레스,애두레쉬,애드레서,애드레츠,애드레시,애드레서,애드레서,애드뢰스,애드레스,애브래스,애드로스,애드리스,애두레쉬,애드레시,애브레서,애드메스,애드메뜨,애드메뜨,애드레서,애드레츠,애드레츠,애드리스,애드레쓰,애드레시,애드레수,애드레수,애드레츠,애드메스,애드레시,애드레시,애드레시,4,ㅇ
addressable,어드레서벌,어드레서뻘,어드네서벌,으드레서벌,어드레서범,어드레새벌,어드레스벌,거드레서범,으드레스벌,어드레서펄,어뒤레서벌,어드리서벌,허드레서밸,허더레서벌,어드레서밸,커드레스벌,어스레서범,허드레서벌,애드레스벌,어드레스덜,어드레스번,어드레서벌,어드레서밸,어드레서벌,거드레서범,어드레서밸,애드레스벌,어드레서범,어드레서범,어드레서범,어드레서밸,으드레서벌,으드레서벌,으드레서벌,거드레서범,어드레서밸,어드레스벌,어드네서벌,으드레서벌,애드레스벌,어뒤레서벌,어드레서밸,어드레서밸,커드레스벌,어드레서벌,으드레스벌,어드네서벌,허더레서벌,어드레새벌,어드레스벌,어스레서범,어드레새벌,애드레스벌,어드레서벌,허더레서벌,어드레스벌,어드레스번,허더레서벌,어드레서밸,어드네서벌,어드레서밸,커드레스벌,어드레새벌,어드레스번,어드리서벌,어드레서밸,으드레스벌,어드레스벌,어드레서벌,커드레스벌,어드레스벌,어드레서밸,으드레서벌,어드레스덜,어드레서밸,허더레서벌,어드레새벌,어드레새벌,어드레스벌,으드레서벌,5,ㅇ
allocated,앨러케이티드,앨머케이티드,앨러코이티드,얼러케이티드,얼러케이티더,핼머케이티드,앨르케이티드,갤래케이티드,엘러케이티드,앨러케이티뒤,앰러케이티드,앨러케끼티드,앤러케이티드,캘러케이티더,앨너케이튀드,앨러께이티드,앨러케이티르,앨러케이키드,앨러코우티드,앨래케이티느,앨래케이티드,앨러케이티브,앨러케이티드,얼러케이티드,앨머케이티드,앨러케이티드,얼러케이티드,앨러케이티뒤,앨러케이티브,앰러케이티드,앨러케이티드,앨머케이티드,앨러케이키드,앤러케이티드,캘러케이티더,앨래케이티느,앨러코우티드,캘러케이티더,앨러케이키드,앨러케이티르,얼러케이티드,앨러케이키드,앨래케이티드,앨러케이키드,캘러케이티더,앨러케이키드,앨래케이티드,앨러코우티드,앨러케이키드,앨러케이티뒤,얼러케이티드,앨래케이티드,앨러케이티르,앨러케이키드,앨러케이티르,앨머케이티드,갤래케이티드,앨러케이티드,캘러케이티더,갤래케이티드,앨러케이키드,앨러케이티브,앨러케이키드,앨러케이티브,얼러케이티드,앨러케이티뒤,앨르케이티드,앨러케이키드,앨러케이키드,앨러케이티브,앨러케이키드,앨러케이티르,앨러케이키드,앨러케끼티드,앨러케이키드,앨러케이키드,앨러께이티드,얼러케이티드,캘러케이티더,앨래케이티드,6,ㅇ
allocation,앨러케이션,앨러테이션,앨러페이젼,앨러케이젼,앨러쾨이션,앨러케이션,앨러케이텬,앨러페이션,앨러헤이션,앨머케이션,일러게이션,앨러테에션,핼러케이션,앨러페기션,앨러케우셤,앨러케이셜,앨러케키션,앤러케이션,앨러케에션,앰러케이션,얼러케이션,앨러케에션,앰러케이션,앨러케에션,앨러페이션,앨러테에션,앨러테에션,앨러페이젼,앨러헤이션,앨머케이션,앨러페기션,앨러페이션,앨러헤이션,일러게이션,앨러케이셜,앨머케이션,앨러헤이션,앨러테에션,앨러케에션,앨러케이셜,앨러케에션,앨러테에션,앨러페이션,앨러케이젼,앨러테에션,앨러테에션,앤러케이션,일러게이션,일러게이션,앨머케이션,앨러페기션,앨러테에션,앨머케이션,앤러케이션,앨머케이션,앨러케이셜,일러게이션,앨러케이셜,앨러페이션,앨러케이젼,앨러케에션,앨러케이셜,앨러케에션,앨러페이젼,앨러케이젼,앨러헤이션,앨러케이셜,앨러헤이션,앨러케에션,앨러테에션,앨러페이션,앨러헤이션,앨러쾨이션,앨러헤이션,일러게이션,일러게이션,앨러페이션,앨머케이션,앨러케에션,앨러테에션,5,ㅇ
alpha,앨퍼,앤프,얼패,엘패,앨퍼,앨허,얼퍼,앤퍼,앨커,갤퍼,핼퍼,앨프,일퍼,얼프,앰패,갤머,앰퍼,앨뻐,깰퍼,갤퍼,얼프,얼프,깰퍼,앨뻐,앰패,앨퍼,갤머,앨허,깰퍼,깰퍼,앨뻐,앰패,갤퍼,깰퍼,일퍼,앨허,얼프,앤프,앨커,앰패,앨커,앰패,앨뻐,엘패,얼프,앨프,앨허,앨허,얼프,앨퍼,앨퍼,앤프,얼프,갤퍼,앤퍼,갤퍼,깰퍼,앤퍼,얼프,갤머,앨프,얼패,엘패,엘패,앨프,앤프,앤프,앨허,갤머,얼프,앨커,갤퍼,앤프,갤머,깰퍼,엘패,갤퍼,앰패,얼패,깰퍼,2,ㅇ
amount,어마운트,어마운크,거마운티,어마온트,애마움트,어마움트,어마운터,어마운쓰,커마운트,어마운스,어마운프,어파운트,어마운투,어마윈트,으마운트,어마은트,어마운트,어마은터,어라운트,애마운트,꺼마운트,꺼마울트,어마울트,어마운프,어마은트,애마움트,어마운스,어마운스,어마운프,어마운프,어마은터,어마은터,어마운프,커마운트,어마운쓰,어마윈트,어마운프,어마윈트,커마운트,어마운스,어파운트,어마은터,어마윈트,어마운스,애마움트,어마윈트,어마윈트,어마은터,어마움트,어마움트,꺼마울트,어마은트,어마윈트,어파운트,어마윈트,어마운터,어마은터,어마운스,어마움트,어마운스,어마은터,커마운트,어마운투,어마윈트,어마은트,어마운스,어마운터,어마운프,커마운트,어마윈트,어마은트,거마운티,어마운프,어마운스,어마운크,어마은터,애마움트,어마운프,애마움트,어마운스,4,ㅇ
application,애플러케이션,애플래케이쎤,애플러캐에션,애플러케끼뗜,애플르케이션,이플러케이션,애쁠러케이셤,애플르테이션,애플러케이셤,애플러케키션,애흘러케이션,애플러코이션,애플머케이션,애플러케이션,애풀러테이션,애흘러케에션,애플러쾨이션,애플러케으션,개플러케이션,애플래케이뎐,애펄러케이션,깨플러케이션,애플르케애션,애플러페이션,애흘러케이션,깨플러케이션,애펄러케이션,깨플러케이션,애흘러케이션,애플머케이션,애플래케이뎐,애플러케이션,깨플러케이션,깨플러케이션,애플러케이셤,애플르테이션,애플머케이션,애플머케이션,애플러쾨이션,애흘러케이션,애플르테이션,애흘러케이션,깨플러케이션,이플러케이션,애흘러케이션,깨플러케이션,깨플러케이션,깨플러케이션,애플러쾨이션,애플러케으션,애플러케으션,애플러케이셤,애플르테이션,깨플러케이션,애플러쾨이션,애플러캐에션,개플러케이션,애플러케으션,개플러케이션,애플러페이션,애플래케이쎤,애플러페이션,애흘러케이션,이플러케이션,애플러캐에션,이플러케이션,애흘러케이션,애플러케으션,애플러케이셤,애플르테이션,깨플러케이션,깨플러케이션,애풀러테이션,깨플러케이션,애플래케이쎤,애흘러케이션,애플러케으션,애플러케이션,애플머케이션,애플러케이셤,6,ㅇ
architecture,아커텍처,아캐퇵처,아커켁처,아터텍처,아커톡처,아커텤저,아커첵처,아캐텍처,아퍼텍저,카커텍처,아허텍츠,아커텍저,아퍼텍처,아커텡처,아커텍처,아커틱처,아커택처,아크텍처,아캐펙처,까퍼텍처,아커택처,아커텡처,아커텍처,아커텍처,아커택처,아커텍처,아커텡처,아퍼텍처,아터텍처,아커택처,아캐퇵처,카커텍처,아커텡처,카커텍처,아캐퇵처,아캐텍처,아커텍처,아커톡처,아커틱처,아커텡처,아퍼텍처,아커텤저,아커택처,아커택처,아캐펙처,아커택처,아커텤저,아커택처,아커택처,아캐퇵처,아크텍처,아허텍츠,아퍼텍처,아커첵처,아커텤저,아커텤저,카커텍처,아커텤저,카커텍처,아퍼텍처,아커텤저,아커첵처,아퍼텍처,아캐텍처,아퍼텍처,아커틱처,카커텍처,카커텍처,아캐펙처,아퍼텍처,아퍼텍처,카커텍처,카커텍처,아커틱처,아캐퇵처,아커택처,아캐퇵처,아커톡처,아커텤저,아캐퇵처,4,ㅇ
